['flight'], ['flight', 'airport', 'aircraft']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'cheapest', 'distance']
['flight'], ['flight', 'flight_time', 'restriction']
['flight'], ['flight', 'airport', 'quantity']
['flight'], ['flight', 'flight_no', 'flight_time']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight_time', 'flight', 'city']
['flight'], ['flight', 'flight_no', 'meal']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'restriction', 'flight_time']
['flight'], ['flight', 'flight_time', 'flight_no']
['flight'], ['flight', 'distance', 'airport']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'city', 'airline']
['flight'], ['flight', 'flight_time', 'ground_service']
['flight'], ['flight', 'flight_time', 'flight_no']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'restriction', 'city']
['flight'], ['flight', 'distance', 'flight_time']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'airline', 'flight_no']
['flight'], ['flight', 'city', 'restriction']
['flight'], ['flight', 'meal', 'flight_time']
['flight'], ['flight', 'airport', 'flight_no']
['flight'], ['flight', 'airport', 'flight']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airline', 'cheapest']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'airport', 'city']
['airport'], ['airport', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'flight_no']
['flight'], ['flight', 'city', 'restriction']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'flight_time', 'airfare']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'flight_time', 'ground_service']
['airfare'], ['restriction', 'cheapest', 'airfare']
['airline'], ['airline', 'flight', 'airport']
['flight_time'], ['flight_time', 'flight', 'city']
['flight'], ['meal', 'flight', 'restriction']
['flight'], ['meal', 'flight', 'airport']
['city'], ['city', 'airline', 'quantity']
['airline'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'meal', 'flight_time']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'airfare', 'airport']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'aircraft', 'airport']
['flight'], ['flight', 'flight_time', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight_no', 'flight', 'airport']
['flight'], ['flight', 'airport', 'flight_time']
['ground_service'], ['airport', 'ground_service', 'city']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'cheapest']
['flight'], ['flight_no', 'flight_time', 'city']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_no', 'flight']
['flight'], ['flight', 'airport', 'city']
['airline'], ['airline', 'airport', 'flight']
['flight'], ['flight', 'airline', 'cheapest']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_no', 'airline']
['flight'], ['flight', 'flight_no', 'airline']
['flight'], ['city', 'flight_no', 'flight_time']
['ground_service'], ['ground_service', 'city', 'cheapest']
['ground_fare'], ['airfare', 'ground_fare', 'restriction']
['ground_fare'], ['airfare', 'ground_service', 'airport']
['flight'], ['flight', 'airport', 'quantity']
['ground_service'], ['ground_service', 'airport', 'city']
['flight'], ['flight', 'flight_no', 'airline']
['flight'], ['flight', 'airline', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'airport', 'flight_time']
['airline'], ['airline', 'airport', 'quantity']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['airline', 'flight', 'airport']
['quantity'], ['airline', 'flight', 'aircraft']
['quantity'], ['quantity', 'airline', 'aircraft']
['quantity'], ['airline', 'flight', 'aircraft']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'airline', 'airport']
['airport'], ['airport', 'city', 'distance']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'airline', 'airport']
['airfare'], ['cheapest', 'airfare', 'ground_fare']
['airfare'], ['cheapest', 'airfare', 'flight']
['flight'], ['meal', 'airfare', 'airline']
['abbreviation'], ['abbreviation', 'meal', 'restriction']
['meal'], ['meal', 'cheapest', 'flight_no']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight_no', 'flight', 'airline']
['flight'], ['flight', 'airport', 'flight_no']
['flight'], ['flight', 'airline', 'meal']
['flight'], ['flight', 'airport', 'ground_service']
['flight'], ['flight', 'airport', 'restriction']
['flight'], ['flight', 'distance', 'flight_time']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'flight_time', 'flight_no']
['flight'], ['flight', 'city', 'airline']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'flight_no', 'airport']
['distance'], ['distance', 'airport', 'city']
['distance'], ['distance', 'airport', 'city']
['distance'], ['distance', 'airport', 'city']
['distance'], ['distance', 'airport', 'flight']
['ground_fare'], ['ground_fare', 'ground_service', 'airfare']
['ground_fare'], ['ground_fare', 'ground_service', 'distance']
['ground_fare'], ['ground_fare', 'ground_service', 'airfare']
['ground_fare'], ['ground_fare', 'ground_service', 'abbreviation']
['airline'], ['flight', 'airline', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['airfare'], ['flight', 'airfare', 'distance']
['aircraft'], ['aircraft', 'airport', 'airline']
['flight'], ['flight', 'flight_no', 'restriction']
['airfare'], ['airfare', 'flight', 'quantity']
['flight'], ['flight', 'airport', 'quantity']
['flight', 'airfare'], ['flight', 'airfare', 'airport']
['flight', 'airfare'], ['flight', 'airfare', 'flight_time']
['flight', 'airfare'], ['flight', 'airfare', 'cheapest']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight', 'airfare'], ['flight', 'airfare', 'city']
['airline'], ['airline', 'flight', 'airport']
['airline'], ['flight', 'airport', 'airline']
['distance'], ['flight', 'restriction', 'distance']
['flight'], ['flight', 'city', 'quantity']
['flight'], ['flight', 'restriction', 'flight_time']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'meal', 'flight_time']
['flight'], ['flight', 'flight_time', 'quantity']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'flight_time', 'airline']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['airfare', 'flight'], ['airfare', 'airline', 'flight_no']
['abbreviation'], ['abbreviation', 'cheapest', 'airfare']
['distance'], ['distance', 'airport', 'city']
['distance'], ['distance', 'airport', 'restriction']
['distance'], ['distance', 'airport', 'city']
['distance'], ['distance', 'airport', 'city']
['ground_fare'], ['ground_fare', 'city', 'airport']
['flight'], ['flight', 'airline', 'flight_time']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'city', 'airline']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'airport', 'flight_time']
['airline'], ['airline', 'airport', 'flight']
['capacity'], ['capacity', 'aircraft', 'ground_fare']
['capacity'], ['capacity', 'ground_fare', 'airline']
['flight'], ['flight', 'airport', 'aircraft']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'flight_no']
['airfare'], ['airfare', 'airline', 'quantity']
['abbreviation'], ['abbreviation', 'airfare', 'cheapest']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'distance', 'airport']
['airline'], ['flight', 'airline', 'city']
['airfare'], ['airfare', 'flight', 'capacity']
['airfare'], ['airfare', 'cheapest', 'capacity']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'flight_no', 'flight_time']
['flight'], ['city', 'flight', 'restriction']
['flight'], ['flight', 'distance', 'city']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'flight_time', 'quantity']
['flight'], ['flight', 'flight_no', 'flight_time']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_no', 'city']
['flight'], ['flight', 'airline', 'capacity']
['flight'], ['flight', 'airport', 'city']
['abbreviation'], ['aircraft', 'ground_service', 'restriction']
['flight'], ['flight', 'airfare', 'airport']
['flight'], ['flight', 'airport', 'cheapest']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'cheapest']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'flight_no', 'airfare']
['flight'], ['flight', 'city', 'cheapest']
['flight'], ['flight', 'airfare', 'city']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['abbreviation'], ['abbreviation', 'restriction', 'airfare']
['airline'], ['airline', 'flight', 'city']
['flight'], ['flight', 'city', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'ground_fare']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'flight_no']
['flight'], ['flight', 'airline', 'flight_time']
['flight'], ['cheapest', 'airfare', 'flight']
['flight'], ['flight', 'airport', 'city']
['airline'], ['airline', 'abbreviation', 'aircraft']
['flight'], ['cheapest', 'airfare', 'capacity']
['flight'], ['flight', 'cheapest', 'airfare']
['flight'], ['cheapest', 'flight', 'airfare']
['flight'], ['cheapest', 'flight', 'restriction']
['airfare'], ['cheapest', 'airfare', 'restriction']
['airfare'], ['cheapest', 'ground_fare', 'airfare']
['airfare'], ['cheapest', 'airfare', 'flight']
['airfare'], ['restriction', 'cheapest', 'airfare']
['ground_service'], ['ground_service', 'flight', 'city']
['flight'], ['flight', 'airport', 'restriction']
['ground_service'], ['ground_service', 'airline', 'airport']
['airline'], ['flight', 'airline', 'flight']
['airfare'], ['airfare', 'airline', 'city']
['flight'], ['flight', 'airline', 'airline']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'flight_no', 'flight_time']
['flight'], ['flight', 'airport', 'flight_time']
['abbreviation'], ['abbreviation', 'airline', 'flight']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'flight_time', 'distance']
['meal'], ['meal', 'flight', 'flight_no']
['ground_service'], ['ground_service', 'city', 'airport']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'distance', 'city']
['airfare'], ['airfare', 'restriction', 'quantity']
['abbreviation'], ['abbreviation', 'restriction', 'quantity']
['airfare'], ['airfare', 'cheapest', 'flight_no']
['flight'], ['cheapest', 'airfare', 'flight']
['flight'], ['cheapest', 'flight', 'flight_no']
['flight'], ['flight', 'cheapest', 'city']
['flight'], ['flight', 'restriction', 'distance']
['flight'], ['distance', 'flight', 'aircraft']
['abbreviation'], ['restriction', 'abbreviation', 'cheapest']
['abbreviation'], ['abbreviation', 'restriction', 'flight']
['flight'], ['distance', 'flight', 'meal']
['flight'], ['distance', 'flight', 'restriction']
['abbreviation'], ['abbreviation', 'restriction', 'flight']
['flight'], ['flight', 'city', 'cheapest']
['flight'], ['cheapest', 'flight', 'restriction']
['flight'], ['flight', 'city', 'city']
['flight'], ['cheapest', 'flight', 'airfare']
['ground_service'], ['ground_service', 'city', 'airfare']
['flight'], ['ground_fare', 'flight', 'cheapest']
['ground_service'], ['ground_service', 'city', 'airport']
['flight'], ['cheapest', 'airfare', 'restriction']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'flight_no']
['airline'], ['airline', 'flight', 'flight_time']
['flight'], ['flight', 'airport', 'distance']
['abbreviation'], ['abbreviation', 'airport', 'flight_time']
['abbreviation'], ['city', 'airport', 'distance']
['flight'], ['flight', 'airport', 'city']
['abbreviation'], ['abbreviation', 'restriction', 'aircraft']
['flight'], ['flight', 'flight_time', 'city']
['airline'], ['airline', 'abbreviation', 'cheapest']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'airport', 'airline']
['ground_service'], ['airport', 'ground_service', 'ground_fare']
['capacity'], ['aircraft', 'capacity', 'airline']
['capacity'], ['capacity', 'abbreviation', 'distance']
['flight'], ['flight', 'airport', 'city']
['ground_service'], ['airport', 'ground_service', 'flight']
['capacity'], ['capacity', 'aircraft', 'quantity']
['flight'], ['flight', 'aircraft', 'airport']
['airline'], ['airline', 'abbreviation', 'flight']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'flight_time']
['ground_service'], ['airport', 'ground_service', 'city']
['flight'], ['flight', 'airport', 'flight_no']
['ground_service'], ['ground_service', 'airport', 'distance']
['flight'], ['flight', 'airline', 'airport']
['ground_service'], ['airport', 'ground_service', 'distance']
['aircraft'], ['aircraft', 'flight', 'ground_service']
['flight'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'distance', 'capacity']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'quantity']
['flight'], ['flight', 'airport', 'flight_no']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'cheapest']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'cheapest']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_no', 'airline']
['flight', 'airfare'], ['flight', 'airfare', 'cheapest']
['flight', 'airfare'], ['flight', 'airfare', 'cheapest']
['flight', 'airfare'], ['flight', 'airfare', 'flight_time']
['airfare'], ['airfare', 'cheapest', 'restriction']
['airfare'], ['cheapest', 'airfare', 'flight']
['airfare'], ['cheapest', 'airfare', 'restriction']
['flight'], ['flight', 'flight_no', 'ground_service']
['flight'], ['flight', 'flight_time', 'restriction']
['flight'], ['flight', 'flight_time', 'ground_service']
['flight'], ['flight', 'flight_no', 'flight_time']
['flight'], ['flight', 'flight_no', 'flight_time']
['flight'], ['cheapest', 'restriction', 'flight']
['flight'], ['cheapest', 'flight', 'restriction']
['flight'], ['cheapest', 'airfare', 'flight']
['flight'], ['flight', 'airfare', 'flight_no']
['flight'], ['flight', 'airport', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'aircraft']
['ground_service'], ['ground_service', 'airport', 'flight']
['flight'], ['flight', 'quantity', 'flight_no']
['flight'], ['flight', 'airline', 'restriction']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'flight_time', 'airline']
['flight'], ['flight', 'airline', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'flight_time']
['airfare'], ['airfare', 'cheapest', 'ground_service']
['flight'], ['flight', 'airport', 'cheapest']
['airfare'], ['airfare', 'cheapest', 'airline']
['airfare'], ['airfare', 'restriction', 'cheapest']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'city', 'flight_no']
['ground_service'], ['ground_service', 'ground_fare', 'airport']
['flight'], ['flight', 'city', 'flight_time']
['ground_service'], ['ground_service', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'cheapest']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airline', 'flight_time']
['flight'], ['flight', 'airport', 'airfare']
['flight'], ['flight', 'flight_time', 'cheapest']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'city']
['airfare'], ['airfare', 'flight', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_time', 'aircraft']
['airfare'], ['airfare', 'cheapest', 'restriction']
['airfare'], ['airfare', 'cheapest', 'flight']
['airfare'], ['airfare', 'cheapest', 'flight_time']
['airfare'], ['airfare', 'distance', 'city']
['airfare'], ['airfare', 'airport', 'cheapest']
['airfare'], ['airfare', 'ground_fare', 'cheapest']
['flight'], ['flight', 'flight_no', 'airline']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'flight_no', 'airline']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'flight', 'flight_time']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'flight_time', 'airport']
['flight'], ['flight', 'airport', 'cheapest']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'flight_no', 'flight_time']
['ground_service'], ['ground_service', 'city', 'airport']
['flight'], ['flight', 'flight_time', 'aircraft']
['flight'], ['flight', 'flight_time', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'distance', 'city']
['ground_service'], ['ground_service', 'airport', 'airfare']
['flight', 'airline'], ['flight', 'airline', 'flight_time']
['ground_service'], ['ground_service', 'airport', 'city']
['flight'], ['flight', 'flight_time', 'cheapest']
['ground_service'], ['ground_service', 'airport', 'airfare']
['flight'], ['flight', 'airport', 'distance']
['flight', 'airfare'], ['airfare', 'flight_no', 'restriction']
['flight', 'airfare'], ['airfare', 'flight', 'restriction']
['flight_no', 'airline'], ['flight_no', 'airline', 'flight']
['flight_no'], ['flight_no', 'flight', 'airline']
['airport'], ['airport', 'city', 'distance']
['airport'], ['airport', 'city', 'distance']
['airport'], ['airport', 'city', 'distance']
['airport'], ['airport', 'city', 'flight']
['flight'], ['flight', 'airfare', 'city']
['airport'], ['airport', 'flight', 'city']
['flight'], ['flight', 'ground_service', 'airport']
['flight'], ['flight', 'airport', 'flight_time']
['airline'], ['flight', 'airline', 'city']
['flight'], ['flight', 'flight_time', 'airport']
['abbreviation'], ['airport', 'airline', 'flight_no']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_time', 'airfare']
['aircraft'], ['aircraft', 'flight', 'airfare']
['flight'], ['flight', 'airport', 'capacity']
['flight'], ['flight', 'airport', 'city']
['airfare'], ['flight', 'airfare', 'city']
['airfare'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'airport', 'flight_no']
['ground_service'], ['ground_service', 'ground_fare', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'city', 'distance']
['flight'], ['flight', 'airport', 'airline']
['flight_no'], ['flight', 'flight_no', 'airport']
['flight'], ['flight', 'airport', 'distance']
['abbreviation'], ['abbreviation', 'restriction', 'airfare']
['flight'], ['flight', 'airline', 'airport']
['abbreviation'], ['abbreviation', 'cheapest', 'restriction']
['airfare'], ['flight', 'airfare', 'cheapest']
['flight'], ['flight', 'airport', 'airline']
['abbreviation'], ['abbreviation', 'restriction', 'airfare']
['abbreviation'], ['abbreviation', 'restriction', 'cheapest']
['abbreviation'], ['abbreviation', 'airfare', 'flight']
['abbreviation'], ['abbreviation', 'restriction', 'ground_service']
['flight'], ['flight', 'quantity', 'flight_no']
['flight'], ['flight', 'airfare', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airline', 'quantity']
['flight'], ['flight', 'airport', 'quantity']
['airline'], ['airline', 'abbreviation', 'cheapest']
['flight'], ['flight', 'airport', 'quantity']
['abbreviation'], ['abbreviation', 'restriction', 'flight']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'airport', 'airfare']
['flight'], ['flight', 'city', 'airfare']
['flight'], ['flight', 'cheapest', 'ground_service']
['flight'], ['flight', 'cheapest', 'airport']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airfare', 'cheapest']
['flight'], ['flight', 'restriction', 'cheapest']
['flight'], ['cheapest', 'flight', 'airfare']
['flight'], ['cheapest', 'flight', 'airfare']
['flight'], ['cheapest', 'airfare', 'flight']
['flight'], ['airfare', 'city', 'flight']
['airline'], ['airline', 'abbreviation', 'flight']
['ground_service'], ['ground_service', 'airport', 'flight']
['ground_service'], ['ground_service', 'airport', 'city']
['flight'], ['airfare', 'quantity', 'cheapest']
['flight'], ['airfare', 'city', 'restriction']
['airline'], ['airline', 'airfare', 'flight']
['flight'], ['city', 'flight_no', 'cheapest']
['flight'], ['city', 'distance', 'airport']
['flight'], ['flight', 'cheapest', 'city']
['flight'], ['city', 'airline', 'quantity']
['airline'], ['airline', 'abbreviation', 'quantity']
['flight'], ['flight', 'airport', 'airline']
['ground_service'], ['ground_service', 'airport', 'airline']
['flight'], ['flight', 'airport', 'capacity']
['ground_service'], ['ground_service', 'city', 'airport']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'quantity', 'cheapest']
['flight'], ['flight', 'restriction', 'airport']
['flight'], ['flight', 'flight_no', 'restriction']
['flight'], ['flight', 'airport', 'restriction']
['flight'], ['flight', 'cheapest', 'airport']
['abbreviation'], ['abbreviation', 'restriction', 'aircraft']
['airline'], ['airline', 'abbreviation', 'quantity']
['airline'], ['airline', 'flight', 'cheapest']
['flight'], ['flight', 'airport', 'ground_service']
['flight'], ['flight', 'airport', 'cheapest']
['flight', 'airfare'], ['flight', 'airfare', 'airport']
['flight'], ['flight', 'city', 'flight_no']
['flight'], ['flight', 'cheapest', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'airline']
['flight'], ['flight', 'flight', 'flight_no']
['flight'], ['flight', 'airport', 'abbreviation']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airline', 'airport']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'city', 'airport']
['distance'], ['distance', 'airport', 'city']
['airport'], ['airport', 'city', 'cheapest']
['airport'], ['airport', 'city', 'flight']
['airport'], ['airport', 'city', 'distance']
['city'], ['airport', 'city', 'flight_no']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'distance']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'airport', 'airfare']
['flight'], ['flight', 'airfare', 'airport']
['flight'], ['flight', 'city', 'flight_time']
['flight'], ['flight', 'airport', 'quantity']
['flight'], ['flight', 'airport', 'flight_time']
['flight'], ['flight', 'airport', 'flight_time']
['aircraft'], ['aircraft', 'flight', 'ground_fare']
['flight', 'airfare'], ['flight', 'airfare', 'restriction']
['abbreviation'], ['abbreviation', 'restriction', 'cheapest']
['flight'], ['flight', 'airfare', 'flight_no']
['airfare'], ['airfare', 'quantity', 'airline']
['airfare'], ['airfare', 'restriction', 'cheapest']
['flight'], ['flight', 'flight_time', 'city']
['flight'], ['flight', 'airport', 'city']
['flight'], ['flight', 'flight_no', 'airport']
